﻿RegisteredTypeName	ReferenceCount	SampleFiles
AbomCooldownBuff	1	FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
AbomFangBuff	21	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomDeathray.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomDeathScythe.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomFrostShard.cs
AbomPresenceBuff	3	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/AbominableWand.cs
AbomRebirthBuff	3	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantBoss.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
AccursedSarcophagusBuff	1	FargowiltasSouls.Content.Items.Pets/AccursedRags.cs
AmbrosiaBuff	1	FargowiltasSouls.Content.Projectiles.Souls/BeeFlower.cs
AnticoagulationBuff	15	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/DreadShell.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/LumpOfFlesh.cs|FargowiltasSouls.Content.Items.Accessories.Souls/MasochistSoul.cs
AntisocialBuff	11	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantFragment.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantPillar.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/ChaliceoftheMoon.cs
AtrophiedBuff	10	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantFragment.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantPillar.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/ChaliceoftheMoon.cs
BabyAbomBuff	1	FargowiltasSouls.Content.Items.Pets/BabyScythe.cs
BabyLifelightBuff	1	FargowiltasSouls.Content.Items.Pets/LifelightMasterPet.cs
BabySilhouetteBuff	1	FargowiltasSouls.Content.Items.Pets/PortableFogMachine.cs
BaronsBurdenBuff	1	FargowiltasSouls.Content.Bosses.BanishedBaron/BanishedBaron.cs
BerserkedBuff	18	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviDevilScythe.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviSparklingLoveSmall.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantEyeOfCthulhu.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/EyeofCthulhu.cs
BerserkerInstallBuff	2	FargowiltasSouls.Content.Buffs/BerserkerInstallCDBuff.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
BerserkerInstallCDBuff	2	FargowiltasSouls.Content.Buffs/BerserkerInstallBuff.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
BetsyDashBuff	1	FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
BigBrainMinionBuff	1	FargowiltasSouls.Content.Items.Weapons.SwarmDrops/BigBrainBuster.cs
BiteSizeBaronBuff	1	FargowiltasSouls.Content.Items.Pets/EnerGear.cs
BloodDrinkerBuff	2	FargowiltasSouls.Content.NPCs.EternityModeNPCs.VanillaEnemies.BloodMoon/Dreadnautilus.cs|FargowiltasSouls.Content.Projectiles.Masomode/Bloodshed.cs
BloodthirstyBuff	9	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/GuttedHeart.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/PureHeart.cs|FargowiltasSouls.Content.Items.Accessories.Souls/MasochistSoul.cs
BrainMinionBuff	1	FargowiltasSouls.Content.Items.Weapons.BossDrops/BrainStaff.cs
BrokenShellBuff	2	FargowiltasSouls.Content.Buffs.Souls/ShellHideBuff.cs|FargowiltasSouls.Content.Items.Accessories.Enchantments/TurtleEnchant.cs
ChibiDeviBuff	1	FargowiltasSouls.Content.Items.Pets/ChibiHat.cs
ChibiiRemiiBuff	1	FargowiltasSouls.Content.Patreon.Phupperbat/VermillionTopHat.cs
ClippedWingsBuff	53	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomSaucer.cs|FargowiltasSouls.Content.Bosses.BanishedBaron/BanishedBaron.cs|FargowiltasSouls.Content.Bosses.Champions.Cosmos/CosmosChampion.cs
CoffinTossBuff	2	FargowiltasSouls.Content.Bosses.CursedCoffin/CoffinHand.cs|FargowiltasSouls.Content.Bosses.CursedCoffin/CursedSpirit.cs
CrimetroidBuff	1	FargowiltasSouls.Content.Patreon.Shucks/CrimetroidEgg.cs
CrimsonRegenBuff	1	FargowiltasSouls.Content.Items.Accessories.Enchantments/CrimsonEffect.cs
CrippledBuff	10	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviBoss.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/BionomicCluster.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/BionomicClusterInactive.cs
CrystalSkullBuff	3	FargowiltasSouls.Content.Items.Accessories.Masomode/LumpOfFlesh.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/PungentMinion.cs|FargowiltasSouls.Content.Items.Accessories.Souls/MasochistSoul.cs
CurseoftheMoonBuff	83	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Champions.Cosmos/CosmosBolt.cs|FargowiltasSouls.Content.Bosses.Champions.Cosmos/CosmosDeathray.cs|FargowiltasSouls.Content.Bosses.Champions.Cosmos/CosmosDeathray2.cs|FargowiltasSouls.Content.Bosses.Champions.Cosmos/CosmosMoon.cs
DefenselessBuff	50	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Champions.Life/ChampionBeetle.cs|FargowiltasSouls.Content.Bosses.Champions.Shadow/ShadowGuardian.cs|FargowiltasSouls.Content.Bosses.Champions.Will/WillBomb.cs|FargowiltasSouls.Content.Bosses.Champions.Will/WillChampion.cs
DoveBuff	1	FargowiltasSouls.Content.Patreon.ManliestDove/FigBranch.cs
DukeFishronBuff	1	FargowiltasSouls.Content.Patreon.DemonKing/StaffOfUnleashedOcean.cs
EarthPoison	1	FargowiltasSouls.Content.Items.Accessories.Forces/EarthForceEffect.cs
EaterMinionBuff	1	FargowiltasSouls.Content.Items.Weapons.BossDrops/EaterStaff.cs
FirstStrikeBuff	2	FargowiltasSouls.Content.Items.Accessories.Enchantments/CrystalAssassinDash.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
FishMinionBuff	1	FargowiltasSouls.Content.Patreon.Sasha/MissDrakovisFishingPole.cs
FlamesoftheUniverseBuff	16	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantGuardian.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/DukeFishron.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/DungeonGuardian.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/Sharkron.cs
FlippedBuff	9	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Buffs.Masomode/MutantNibbleBuff.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/GalacticGlobe.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/HeartoftheMasochist.cs
FossilReviveCDBuff	2	FargowiltasSouls.Content.Items.Accessories.Enchantments/FossilEffect.cs|FargowiltasSouls.Content.Items.Accessories.Enchantments/SpectreEffect.cs
FrozenBuff	2	FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Projectiles/FargoSoulsGlobalProjectile.cs
FusedBuff	13	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Buffs/FargoGlobalBuff.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/ChaliceoftheMoon.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/LihzahrdTreasureBox.cs
GladiatorBuff	1	FargowiltasSouls.Content.Projectiles.Minions/GladiatorStandard.cs
GladiatorSpiritBuff	1	FargowiltasSouls.Content.Projectiles.Minions/GladiatorSpirit.cs
GodEaterBuff	9	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantBoss.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantGuardian.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantIllusion.cs
GoldenStasisBuff	3	FargowiltasSouls.Content.Bosses.MutantBoss/MutantGiantDeathray2.cs|FargowiltasSouls.Content.Items/FargoGlobalItem.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
GoldenStasisCDBuff	3	FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantBoss.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
GrabbedBuff	4	FargowiltasSouls.Content.Bosses.Champions.Spirit/SpiritChampionHand.cs|FargowiltasSouls.Content.Bosses.CursedCoffin/CursedSpirit.cs|FargowiltasSouls.Content.NPCs.EternityModeNPCs.VanillaEnemies.Jungle/Snatchers.cs|FargowiltasSouls.Content.Projectiles.Masomode/WOFChain.cs
GrabbedHarmlessBuff	1	FargowiltasSouls.Content.Projectiles.Masomode/DeerclopsHand.cs
GuiltyBuff	18	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Champions.Timber/TimberAcorn.cs|FargowiltasSouls.Content.Bosses.Champions.Timber/TimberChampion.cs|FargowiltasSouls.Content.Bosses.Champions.Timber/TimberChampionHead.cs|FargowiltasSouls.Content.Bosses.Champions.Timber/TimberLaser.cs
HallowCooldownBuff	1	FargowiltasSouls.Content.Projectiles.Minions/HallowSword.cs
HallowIlluminatedBuff	7	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/GalacticGlobe.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/GelicWings.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/HeartoftheMasochist.cs
HellFireBuff	6	FargowiltasSouls.Content.Bosses.Magmaw/Magmaw.cs|FargowiltasSouls.Content.Projectiles.BossWeapons/HellBone.cs|FargowiltasSouls.Content.Projectiles.BossWeapons/HellBonez.cs|FargowiltasSouls.Content.Projectiles.BossWeapons/HellGuardian.cs|FargowiltasSouls.Content.Projectiles.BossWeapons/HellSkeletron.cs
HellFireMarkedBuff	2	FargowiltasSouls.Content.Bosses.Champions.Life/LifeChampion.cs|FargowiltasSouls.Content.Projectiles.BossWeapons/HellGuardian.cs
HexedBuff	13	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviBoss.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviLostSoul.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantFragment.cs|FargowiltasSouls.Content.Buffs.Masomode/MutantNibbleBuff.cs
HolyPriceBuff	2	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Core.ModPlayers/EModePlayer.cs
HypothermiaBuff	21	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantShadowHand.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/Deerclops.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/IceQueen.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs
InfestedBuff	40	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Champions.Life/ChampionBee.cs|FargowiltasSouls.Content.Bosses.Champions.Nature/NatureCrystalLeaf.cs|FargowiltasSouls.Content.Bosses.Champions.Nature/NatureDeathray.cs|FargowiltasSouls.Content.Bosses.Champions.Nature/NatureDeathraySmall.cs
IvyVenomBuff	17	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantCrystalLeaf.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantMark2.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/PlanteraPart.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs
JammedBuff	10	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantFragment.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantPillar.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/ChaliceoftheMoon.cs
JungleMimicSummonBuff	2	FargowiltasSouls.Content.Items.Weapons.Misc/OvergrownKey.cs|FargowiltasSouls.Content.Projectiles.JungleMimic/JungleMimicSummon.cs
KingSlimeMinionBuff	1	FargowiltasSouls.Content.Patreon.Catsounds/MedallionoftheFallenKing.cs
LeadPoisonBuff	5	FargowiltasSouls.Content.Bosses.MutantBoss/MutantBoss.cs|FargowiltasSouls.Content.Buffs.Souls/LeadPoisonBuff.cs|FargowiltasSouls.Content.Items.Accessories.Enchantments/LeadPoisonEffect.cs|FargowiltasSouls.Content.Projectiles.Souls/ObsidianExplosion.cs|FargowiltasSouls.Content.Projectiles.Souls/TerraLightning.cs
LethargicBuff	56	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomSaucer.cs|FargowiltasSouls.Content.Bosses.BanishedBaron/BanishedBaron.cs|FargowiltasSouls.Content.Bosses.Champions.Cosmos/CosmosChampion.cs
LightningRodBuff	38	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomSaucer.cs|FargowiltasSouls.Content.Bosses.Champions.Cosmos/CosmosChampion.cs|FargowiltasSouls.Content.Bosses.Champions.Nature/NatureChampionHead.cs
LihzahrdBlessingBuff	1	FargowiltasSouls.Content.Tiles/EModeGlobalTile.cs
